comment,polarity,sentiment_type,subjectivity
Jalid se Like aur Share kardo dosto...Waise kya kehna hai aapka PRO ke baare mein :),Positive,0.5,1.0
lightening USB C cable... very great thing... design is different than earlier Airpods.. looking small stylish and premium...very good for carry... really loved it...price is expensive...,Positive,0.26875,0.696875
"#technicalguruji..... Thats a good improvement over previous generation regarding size but for noise cancellation, many other brands still out there who perform better and definitely convenient with these new earplugs....thanks for the update regarding these airpods pro......jai hind.....vande mataram!!",Positive,0.23162878787878788,0.44231601731601733
Thank You Gaurav for always providing the accurate and genuine information in both of your channels ' Love to explore through you. ️,Positive,0.43333333333333335,0.5777777777777778
"Compact in Size as compare to last Airpods and sound quality is also awesome. 
Noise cancellation system. 
Wireless charging. 
Overall good job done by Apple ",Positive,0.41999999999999993,0.4133333333333334
I just want to experience that amazing transparency and ANC Mode just want to grab this amazing product now️,Positive,0.6000000000000001,0.9
Wow 2019 Will be called as pro year with everything pro's,Positive,0.1,1.0
Better upgrade from its previous one ,Positive,0.16666666666666669,0.3333333333333333
"Apple is amazing and there price is also at nice range as there products deserve it
But some people think that it’s useless to buy there  expensive products
What is your advice on it guruji",Positive,0.050000000000000044,0.7
Airpods are definitely a step-ups from the previous generation.,Negative,-0.08333333333333333,0.3333333333333333
These look much more comfortable. Although I've never had an airpod,Positive,0.45,0.65
Loved this air pods pro looks compact and   I love the way apple design their products,Positive,0.6,0.7
Love this Airpods pro...wish to have one in my hand,Positive,0.5,0.6
"Awesome sir, this was enlightening. However this is Costly as compered to the others. However, after your observation this AirPods is good for every one. I like them too thank u for your video it helped.",Positive,0.6666666666666666,0.6666666666666666
"Airpods pro looks so elegant! A very good review i must say, very well explained sir & thnku for the tips..",Positive,0.5783333333333333,0.6933333333333334
I just got them today its really good specially the noise cancellation feature ,Positive,0.5285714285714286,0.5857142857142857
Air pods pro are great with nice features but out of reach,Positive,0.7,0.875
"these airpods pro is a amazing product from apple , really loved it",Positive,0.65,0.8500000000000001
The design looks great and the nosie cancellation looking awesome,Positive,0.9,0.875
You are really a hardworking person guruji.....really appreciable ,Positive,0.2,0.2
Who else thinks that AIRPODS 2 wireless charging were better?,Positive,0.5,0.5
"With new features and stuffs good connectivity 
Loved it",Positive,0.5121212121212121,0.6181818181818183
Guruji... Really love your hardwork and dedication. I follow many youtubers but you are the most active person on all social media platforms ,Positive,0.28,0.4533333333333334
a new benchmark created.. lets see what could be teh amazing by apple next,Positive,0.24545454545454548,0.4515151515151515
Eagerly want these ,Neutral,0.0,0.0
"Noice cancellation and smaller size. Worth updating
Thanks for making video Brother.",Positive,0.16666666666666666,0.26666666666666666
Amazing earpods at extraordinary price ,Positive,0.4666666666666667,0.95
It needs serious equalizers… i want to boost 8k to 16k and 40 to 80 hertz frequencies and attenuate 3k to 5k frequencies…,Negative,-0.3333333333333333,0.6666666666666666
"Apple always tries to improve their gadgets and hence I think as you said its a improved version of AirPods
#bologuruji",Negative,-0.1,0.4
I really want to get these but the price is way to much even tho I will get it once they're available!,Positive,0.3,0.26666666666666666
Great update with ANC and Short in size great fitting ,Positive,0.525,0.575
Apne liye to thode din me Duplicate aa jayege,Neutral,0.0,0.0
These are too much costly . Many of me like others can't afford these pro but soon entering apple world#guruji ,Positive,0.35,0.35
I like the way you unbox you give all info in detail with fun thank you sir 🇮🇳,Positive,0.3,0.2
I absolutely like the design.,Positive,0.2,0.9
AirPods pro are amazing!!,Positive,0.9375000000000001,0.9
"which one has better sound quality? 
mi compact mini bluetooth speaker 2 or mi mini portable bluetooth speaker??",Positive,0.45,0.45
Apple always with the best changes,Positive,1.0,0.3
I honestly like the regular airpods better ,Positive,0.3666666666666667,0.49230769230769234
"I am just waiting for this review. WHEN I GET THE NOTIFICATION I CLICKED THAT AND Now I'm watching.

LOVE From Bangladesh",Positive,0.5,0.6
