comment,polarity,sentiment_type,subjectivity
Is the price worth it for you?,Positive,0.3,0.1
"It has always seemed absurd to me selling the keyboard separately. I can’t imagine anyone using it purely as a tablet. Like I understand selling the pen separately (and keyboard for iPads) as not everyone will be using one and seems more of an optional extra, but keyboard seems like a necessity for surface pro.",Positive,0.053571428571428575,0.525
"I really appreciate Monica's breakdown of everything here. It's the kind of review that I'd share with a relative if they asked about buying the surface pro, and I wouldn't have to worry about explaining anything else. I love it!",Positive,0.35625,0.42500000000000004
Can't wait to upgrade my Pro 5 to this. The form factor update and other improvements are too good to ignore,Positive,0.2875,0.48750000000000004
The screen has improved greatly this time but the price is still unreasonable.,Positive,0.8,0.75
Thanks for the transparency about the pricing of the model YOU are reviewing,Positive,0.2,0.2
Well done review. It would be nice to see you do more hardware reviews in the future. Great job covering all the important details for anyone who would consider this device.,Positive,0.4600000000000001,0.675
"Great review, I'm tempted to upgrade from my surface pro 5. The firm factor is perfect for reading sheet music off of.",Positive,0.5333333333333333,0.7166666666666667
"Great review and fantastic device. I would LOVE to get this, but I just can’t justify that price tag. I guess the 2-in-1 lives to see another day",Positive,0.5666666666666668,0.75
"I'm gonna wait a year and then get a bundle deal. I definitely want this machine, as nothing else on the market suits my use case even remotely as well as the surface pros.",Negative,-0.05,0.35
Great detailed and clean review. thank you.,Positive,0.5222222222222223,0.7333333333333334
"I'm blown away. I guess I haven't looked at laptop pricing in so long that I didn't realize they rocketed to outer orbit. I'm only eyeing the Lenovo Duet 5 right now, but just had a flashback to scoring a Broshiba Satellite 15.6 with an i5 in college for $500, and the crucial 10-key. Modern computing is so foreign now.",Positive,0.05178571428571429,0.5601190476190475
"The pricing is absurd, especially for a keyboard that isn't included.",Negative,-0.25,1.0
"Really nice review!! Personally, I don’t need such a power and I prefer a traditional 15,6” laptop. My Lenovo with its 10th gen Core i5 works like a breeze with my usual workflow (Lightroom Classic, 5-6 Edge tabs open and Apple Music the same time) and it cost me about 700€.",Positive,0.10677083333333333,0.4489583333333333
"100% agreed! If it was 300-400 bucks cheaper I would have preordered it already. But oh well, here in Italy SP8 only arrives in January, so I might get a good deal out of it until than. 

It for sure is the Windows tablet I was waiting for, I have to give MS at least that! Those Apple like price tags though are outrageous still.",Negative,-0.03500000000000001,0.7777777777777778
This reviewer is awesome! Hope she makes a lot more videos,Positive,0.75,0.75
"Hi,
Thank you for the helpful review.
I was wondering whether this device with 32db ram can be useful for a developer (not playing games). I was first thinking of getting the surface laptop pro, but it's too big and I prefer the pro 8.",Positive,0.18333333333333335,0.14444444444444446
The fact that it hasn't changed much in 4 years tells how far ahead it was to it's competition,Positive,0.15000000000000002,0.6
"I would want it with the configuration of your review, but not at that price.
Wonderful job with your review. I do like that it has a fan.",Positive,1.0,1.0
"Great review Monica. What was it like having both USB-C ports on the same side of the device? Also, what was palm rejection like while writing with the pen? I noticed in your video that most of the writing was done with your hand off the device.",Positive,0.43333333333333335,0.4583333333333333
The way this video has been put forward is going to help many consumers. I hope to see more videos like this from you. A sub from me. 👍,Positive,0.5,0.5
"Of course cheaper would be nicer, but the price is reasonable considering there's no other device offering the same specs/performance. 
I might consider upgrading from my SP6 once I'm sure Windows 11 is a good user experience. Despite the overheating, my SP3 still works as a sub-office computer. Considering the lack of repairability of these devices, Surface Pro has been a reliable business solution.",Positive,0.2925,0.5177777777777778
